,precision,recall,f1-score,support
B-LOCATION,0.8156772129399218,0.7039423224420923,0.7557019349526555,6519.0
I-LOCATION,0.8282335069444444,0.6686229852838121,0.739918573090345,11416.0
micro avg,0.8234739253469883,0.6814608307778087,0.7457668487048845,17935.0
macro avg,0.8219553599421832,0.6862826538629523,0.7478102540215003,17935.0
weighted avg,0.8236695548610609,0.6814608307778087,0.7456554973156253,17935.0
