provinceId,provinceTh,provinceEn,provinceDescTh,LAT,LON,photoRef
11,ชัยภูมิ,Chaiyaphum,ชัยภูมิทิวทัศน์สวย รวยป่าใหญ่ มีช้างหลาย ดอกไม้งาม ลือนามวีรบุรุษ สุดยอดผ้าไหม พระใหญ่ทราวดี,15.8068173,102.0315027,ATtYBwJwjah2HdOyJUMorhx5Y3n23Y0Nn697hxMLOMdRGsu8h6Y8JiOQMPEb1pkWc4sKhVtvD1UyBGSKfp9BW3DgF6Ak4gMbNEP5RlIadUSWeG7rrvwzgagfaM8YfcAgD1XmJwe8jtRv4mw_-NjTfR4KoXTelEJhkPpaR_dQ38PY81hYPM5n
12,ชุมพร,Chumphon,ประตูภาคใต้ ไหว้เสด็จในกรม ชมไร่กาแฟ แลหาดทรายรี ดีกล้วยเล็บมือ ขึ้นชื่อรังนก,10.493049599999999,99.1800199,ATtYBwLG9q7qOBlsPpuVHQ0Wi2cqtapbkYABOwOcMtI4Id1a0r_MMGImq6mAFbLseOHifQAvDklAwvDi1pnbGGgGyV8IB5n0Y-Ltj3NKvg57DDUeqdIngh31LjZJUEakv6zp_AbLDaSrtRi5GDf9pxVszZ0xwhEdUUfxvYvhDpzsFZhaTZlN
13,เชียงราย,Chiang Rai,เหนือสุดในสยาม ชายแดนสามแผ่นดิน ถิ่นวัฒนธรรมล้านนา ล้ำค่าพระธาตุดอยตุง,19.907165600000003,99.830955,ATtYBwIbfzucuWCYLJDX4VnnBGo24KaiTNwpvCTkNjaTYhFhHI68GiwaizqmWXftvmWvg7WZ8_Tgje9ThuQz63dVGtyEnd45eiEkHehWwcZWmoCmbGmI--bZPg2oPbuJqyE3mWSTWcW4rcSfLX6Ssk7mW_pke5L401p2-TJcVKabPPxixcEc
14,เชียงใหม่,Chiang Mai,ดอยสุเทพเป็นศรี ประเพณีเป็นสง่า บุปผาชาติล้วนงามตา นามล้ำค่านครพิงค์,18.788343899999997,98.9853008,ATtYBwJpL9h4PJjIAS1se2pNaBR57bnzNTQt-09Ku-4hUr-hkG-7Wadl3Gxsy8iG00tOHqqdGgh9F2VTP9UH98tGQESUvgjjqLevzrU4vwBsUDymvIJomA7GU-BbdDjDq8tjLJXhFmgyEETBOW3FUHRDXmyMYmMA4UL-vaZWLoClK8wEuZBV
15,ตรัง,Trang,เมืองพระยารัษฎา ชาวประชาใจกว้าง หมูย่างรสเลิศ ถิ่นกำเนิดยางพารา เด่นสง่าดอกศรีตรัง ปะการังใต้ทะเล เสน่ห์หาดทรายงาม น้ำตกสวยตระการตา,7.559385099999999,99.61100649999999,ATtYBwJGa-1z5Chky6F5jsWTlIiHiRVcw_1FJ2kbUjv-OMlwqLll8BYHteDh28mYz583TQAG67JVbSUnADmahDvSx4VwsdPDTENQ5emO5IGSSFoqS-kE4o9CDqaEkKG4MDnYHjlS-V8pxnAxxFR5QwovR9jrYM7HFP1_x9v6we2ID3ywwmtB
16,ตราด,Trat,เมืองเกาะครึ่งร้อย พลอยแดงค่าล้ำ ระกำแสนหวาน หลังอานหมาดี ยุทธนาวีที่เกาะช้าง สุดทางบูรพา,12.242756300000002,102.5174734,ATtYBwLg-_lcfsLtkE1kJ4DnAH_ALU1Mxtthfmt9eQBleleWMswJTyaXRyCOu9Y3huJnUMhH3is98Ap5DGbGIKfKrIjEkq355ZBQjGVNB8yi2FF1DVEoRn-TfnCJFaYbqyxsGg59jWpKXn5evs_25d0CUona8Khu9LP6Lkwq2LvcQ0gHbcIy
17,ตาก,Tak,ธรรมชาติน่ายล ภูมิพลเขื่อนใหญ่ พระเจ้าตากเกรียงไกร เมืองไม้และป่างาม,16.883990100000002,99.1258498,ATtYBwLvNPSrE75PXmUtHN0EVCjxzdM94wn05wTMQtnkii5E3WYa6S9RaMWdgun1r9JZ9FzEKY1pjSTT3rJNa1l3MaAGIXRdPNs93csUwIhT5-oPSwbVQjxt3BVDScC3umQl59X2TYGVTfvWtgXIK7whOEpyLlOrEmrpLBlKA9Omvbvycy2j
18,นครนายก,Nakhon Nayok,เมืองในฝันที่ใกล้กรุง ภูเขางาม น้ำตกสวย รวยธรรมชาติ ปราศจากมลพิษ,14.206946599999998,101.21305109999999,ATtYBwLptmbDSqqH2uIh1J559LozapzLuD0hhOFWWI2B3ohUSOzNWbBdaS6RMa4JFpmHYjhkzu8jf1kkA6hJwMLOLEZQqc7189F4Mo7QPPA0X8PGXm58CxCY1gYDKGD0dt-1PeP6968jLaI1_7RDev-fS07ilPoePWjjhuzMBMp7Mf1Vbcqr
19,นครปฐม,Nakhon Pathom,ส้มโอหวาน ข้าวสารขาว ลูกสาวงาม ข้าวหลามหวานมัน สนามจันทร์งามล้น พุทธมณฑลคู่ธานี พระปฐมเจดีย์เสียดฟ้า,13.819920600000001,100.0621676,ATtYBwItWMAFw5qDaSm-_3p6n2Gu-gAXDJnO_HcfiVSmulox311cfxNosMJI54a5xDAkHNnuH8l0XHEzdcHcAZBEpm-u8R7udw1VCLg8FU8rgSwNhDOqah8SVaGAJfufoIB8jGCG4tqZKG2XpJYaXZ54usNpBLNntRDBQ7KHKWrVBqOgyZRc
20,นครพนม,Nakhon Phanom,พระธาตุพนมค่าล้ำ วัฒนธรรมหลากหลาย เรณูผู้ไท เรือไฟโสภา งามตาฝั่งโขง,17.392039,104.76955079999999,ATtYBwJIr0X3n8RbOSxBzCv8qUt510coOAN7JGPa0YFM9cBS7iSYmA-rzcyWr0435UPda66FZDioMvbgBvzLdQC_p8kH5YBK5VfPWMlkD3Q2juvUpFz-SGjLytDFlYTF0iJTCj8eW8xw7i93qB8AK7e6CbLuTSjkwGFRGMd4pG1YZKAYHHnE
