Thread_id,Thread_index,Index,Word,Label,LAT,LON,provinceEn,provinceId
37284754,3,2006,ดอยตุง,LOCATION,20.3261111,99.8344444,Chiang Rai,13
37284754,3,2016,วัดพระธาตุดอยตุง,LOCATION,20.3277829,99.82590429999999,Chiang Rai,13
37284754,3,2042,แม่สาย,LOCATION,20.431429100000006,99.8849897,Chiang Rai,13
37284754,3,2116,วัดพระธาตุดอยตุง,LOCATION,20.3277829,99.82590429999999,Chiang Rai,13
37284754,3,2167,หอนาฬิกา,LOCATION,39.9528,-75.1634833,Chang Wat Chiang Mai,14
37284754,3,2367,สนามบินเชียงใหม่,LOCATION,18.767749,98.9640088,Chang Wat Chiang Mai,14
37284754,3,2450,กรุงเทพฯ,LOCATION,13.7563309,100.5017651,Bangkok,1
37284754,3,2505,สนามบินสุวรรณภูมิ,LOCATION,13.6899991,100.7501124,Chang Wat Samut Prakan,60
37230161,4,4,กระบี่,LOCATION,8.0862997,98.9062835,Krabi,2
37233347,5,61,เมกาบางนา,LOCATION,13.6466668,100.6801088,Chang Wat Samut Prakan,60
37223370,11,35,Safari World,LOCATION,33.5503568,-112.4114142,Arizona,
37223370,11,149,Safari World,LOCATION,33.5503568,-112.4114142,Arizona,
37223370,11,184,Safari World,LOCATION,33.5503568,-112.4114142,Arizona,
37223370,11,192,99 99 ถนนปัญญาอินทรา แขวงคลองสามวา เขตสามวานอก,LOCATION,13.829419400000004,100.6731106,Krung Thep Maha Nakhon,1
37223370,11,208,กรุงเทพฯ,LOCATION,13.7563309,100.5017651,Bangkok,1
37223370,11,222,Safari World,LOCATION,33.5503568,-112.4114142,Arizona,
37223370,11,1081,พัทยา,LOCATION,12.923555699999998,100.8824551,Chon Buri,9
37223370,11,1434,จุตจักร,LOCATION,13.830658800000002,100.5575633,Bangkok,1
37223370,11,1590,Safari World,LOCATION,33.5503568,-112.4114142,Arizona,
37223370,11,1786,รัชดา,LOCATION,13.7705118,100.5722782,Krung Thep Maha Nakhon,1
37223370,11,1859,Safari World,LOCATION,33.5503568,-112.4114142,Arizona,
37223370,11,2212,Safari World,LOCATION,33.5503568,-112.4114142,Arizona,
37223370,11,2251,Safari World,LOCATION,33.5503568,-112.4114142,Arizona,
37193771,13,251,เมืองไทย,LOCATION,13.786477,100.5746,Krung Thep Maha Nakhon,1
37193771,13,260,ไทย,LOCATION,15.870032,100.992541,,
37193771,13,268,ไทย,LOCATION,15.870032,100.992541,,
37193771,13,1369,เยอรมัน,LOCATION,51.165691,10.451526,,
37193771,13,1379,เกาหลี,LOCATION,37.66399759999999,127.9784585,,
37193771,13,1381,ญี่ปุ่น,LOCATION,36.204824,138.252924,,
37193771,13,1953,ไทย,LOCATION,15.870032,100.992541,,
37193771,13,2054,ไทย,LOCATION,15.870032,100.992541,,
37193771,13,2181,เมืองไทย,LOCATION,13.786477,100.5746,Krung Thep Maha Nakhon,1
37193771,13,2191,ลพบุรี,LOCATION,14.7995081,100.6533706,Lopburi,52
37193771,13,2193,อยุธยา,LOCATION,14.3532128,100.5689599,Phra Nakhon Si Ayutthaya,33
37193771,13,2195,สุโขทัย,LOCATION,17.0055573,99.8263712,Sukhothai,66
37193771,13,2197,เชียงใหม่,LOCATION,18.7883439,98.98530079999999,Chiang Mai,14
37193771,13,2199,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37150758,14,11,บ้านรักไทย,LOCATION,16.7383527,100.641124,Mae Hong Son,45
37150758,14,58,แม่ฮ่องสอน,LOCATION,19.3020296,97.9654368,Mae Hong Son,45
37150758,14,63,ปางอุ๋ง,LOCATION,19.498392000000006,97.9092037,Chang Wat Mae Hong Son,45
37150758,14,65,บ้านรักไทย,LOCATION,16.7383527,100.641124,Mae Hong Son,45
37150758,14,72,ปาย,LOCATION,19.358219100000003,98.4404863,Mae Hong Son,45
37150758,14,76,เชียงใหม่,LOCATION,18.7883439,98.98530079999999,Chiang Mai,14
37150758,14,80,เชียงดาว,LOCATION,19.3667884,98.9648087,Chiang Mai,14
37150758,14,84,แม่แตง,LOCATION,19.2102028,98.8803925,Chiang Mai,14
37150758,14,101,บ้านรักไทย,LOCATION,16.7383527,100.641124,Mae Hong Son,45
37150758,14,165,ประเทศพม่า,LOCATION,21.916221,95.955974,,
37150758,14,694,แม่ฮ่องสอน,LOCATION,19.3020296,97.9654368,Mae Hong Son,45
37150758,14,718,ปางอุ๋ง,LOCATION,19.498392000000006,97.9092037,Chang Wat Mae Hong Son,45
37150758,14,1078,หมู่บ้านรักไทย,LOCATION,19.5850467,97.9424827,Mae Hong Son,45
37150758,14,1105,บ้านรักไทย,LOCATION,16.7383527,100.641124,Mae Hong Son,45
37110307,15,36,เมืองไทย,LOCATION,13.786477,100.5746,Krung Thep Maha Nakhon,1
37046486,16,37,ไทย,LOCATION,15.870032,100.992541,,
37046486,16,57,อิมแพ็ค เมืองทองธานี,LOCATION,13.912949,100.5476696,Chang Wat Nonthaburi,24
37056768,17,24,ออสเตรเลีย,LOCATION,-25.274398,133.775136,,
37056768,17,31,ประเทศไทย,LOCATION,15.870032,100.992541,,
37056768,17,42,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,55,กรุงเทพ,LOCATION,13.7563309,100.5017651,Bangkok,1
37056768,17,62,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,91,ศูนย์การประชุมแห่งชาติสิริกิติ์,LOCATION,13.7240492,100.5588048,Krung Thep Maha Nakhon,1
37056768,17,96,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,109,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,247,กรุงเทพ,LOCATION,13.7563309,100.5017651,Bangkok,1
37056768,17,294,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
37056768,17,303,เชียงราย,LOCATION,19.907165600000006,99.830955,Chiang Rai,13
