Thread_id,Thread_index,Word,LAT,LON,provinceTh,photoRef
37357879,1,ทับสะแก จังหวัดประจวบคีรีขันธ์,11.5289925,99.6369129,ประจวบคีรีขันธ์,ATtYBwLHsvovDk7krVcZKdvQ6Y2VMwmuAwQBbmJaO65vRtW3v7qs4mkYpophjJVHmdkrB6uBnhuonpPIzHTK-mKo18sTftUy7_-fa4oE1WLcz40MromRpbfgcahifACEHgJcEBLffGrWPjtmsIPxbnSK0AbgeVZglfwHevAiW_RF7-VIcPHo
37357879,1,ฟิวเจอร์พาร์ครังสิต,13.9891789,100.617926,ปทุมธานี,ATtYBwJ2gaDSSVJfzF4JKlMchhIZyl1MR-UNxQeLfCobwggMIW0Ve-HeY4QhpyiSAwrB_WK6rpQ8wuMsmAbUq7z8gsS5SOiSGenhbW2FA5UOrEMB8X4g0vB8iJuciSwD7hukkxuNK0xaX_T2ubnuJZrVn4TFffOZ9SQiFiDmH2MtxD0gye57
37357879,1,ชะอำ,12.799688,99.96682729999999,เพชรบุรี,ATtYBwLWu0kXY8oHm7HmmnjX_dfKOHtfs0s_TSoQvFbWodP1N1SftDMPp63BPoRguYFNK2MOeoiNJ3bmc7mX5rBGgERQAh8EyUEcvJrUUApsstuL7TbM2-tKV_LdMQdhwBQG7h3xqUfA2WQ19Oxb8aajKh39B3Yvj-T5Qe43hE_ysFQQBhTP
37357879,1,อ่าวมะนาว,11.7780502,99.7982736,ประจวบคีรีขันธ์,ATtYBwKlgMiPnrkHXngSwB1olY59QVRmtPreMOFjhWyf-2Mw-QcbhzS0pHZmDT1xd1jXnXtC-0lQSdFg-kBtx4Mwyd0TQH1vv_Fo7eIkPiVkjD6HYm2oqB7n8dArCcUpcDGFI9daRXItG0Agj9a-uKmPu5Qa0pJ-CIoFlXxDEq1AWt9fcAVG
37357879,1,เมืองไทย,13.786477,100.5746,กรุงเทพมหานคร,
37271619,2,หมู่บ้านท่าระแนะ ตำบลหนองคันทรง อ.เมือง จ.ตราด,12.1859289,102.556661,ตราด,ATtYBwKLRnl4fpHogEI1KhXK6e4XKewuedS_RTKeeBEPtGYMD49EBIKrBP79s9jvdKBHnu3qg5BTPWmN7bZZfbcqYsR4y8idvssOUuUu_0sVlkou0LEcXLlDVhjK_3YMYpd0fC8CM16XHWk58V5uQaiW_BdnhnE3HdI0wCFo7mXGPBYqE6a_
37271619,2,ตราด,12.242756300000002,102.5174734,ตราด,ATtYBwLZHVv368xNiqd4j7e2MR-VFMhiWa1ORow7OvYRmsWhpOBjiUaNS5LCsnQ6TfKy6zTCsMn43ai1I1eF2B7o4CvPw4Naz01_rGG_aykUuaeXw0ZXsawWMeyFSo1Vtam830aZWog6O4XLQsYtzoOP6ZOpEL7KAO4nWP8OLzIguCzJ6dOH
37271619,2,ตราด,12.242756300000002,102.5174734,ตราด,ATtYBwIdggODpV26zYfX4ahAtOjV0YsXQOdzkirMDrygaAgm2omHJv7FpQ1LWkHrqFPPagpOtPxHlKWArSX55kJLztZ8TIsfw_PErIxe5IKsudsvggldiUtD5NVtf-_BQ35uCZ5AnR-3AU0g94VEAr2UuQxH5uT4uwAmYYKi06ScSETBBJbd
37271619,2,เกาะช้าง,12.0479159,102.3234816,ตราด,ATtYBwKdovL60rBLbZPwXNhv45sl2543ms7Ieoy_4AnREo-CbHqXiQN7tPwNz-zrJT-0fuVwfC_Stm8NzgRxkvx86gTQMOO0hQh5n9pOHVTjDEgH5uLhs3hIcTEQsdeRWeiNa72XFw0eWr_2Ty18-e9oJDdbu4_nnJWOcIq_MX1u9VSwAZh5
37271619,2,เมืองตราด,12.242756300000002,102.5174734,ตราด,ATtYBwIyOCDbhBxFt0KdgfNEbH7kHMfswlvK_zRNBagcK2RCYAqkdiiSp2IVHgHiC-dL6KbY00P7JCAoZUbI16twDvc1PueKa11IwisPaf3iJpOa-izzEY8vtVk8gUSbzdjV_KR47_6zcg8yRpCFEfEwlT-7UqLdJFwg2Zgj57f7FSFoSFbK
37271619,2,เมืองตราด,12.242756300000002,102.5174734,ตราด,ATtYBwIyOCDbhBxFt0KdgfNEbH7kHMfswlvK_zRNBagcK2RCYAqkdiiSp2IVHgHiC-dL6KbY00P7JCAoZUbI16twDvc1PueKa11IwisPaf3iJpOa-izzEY8vtVk8gUSbzdjV_KR47_6zcg8yRpCFEfEwlT-7UqLdJFwg2Zgj57f7FSFoSFbK
37271619,2,หมู่บ้านท่าระแนะ,12.1859289,102.556661,ตราด,ATtYBwImIXjSsnG4CBOqzpliwdjIQFMg9MOqv1sE_sTbiDr16nTo_Umo4wWJ8wNKMjmJn2DS2GPBqZsUYr8XAXnq5KfLEZ9zZ8F9jf93h1-ZvYD8ze77727b4rd4oGjCjkymqLbriRxChM3bUHsPy7DY-dVi9xj7qY1b_cr6s2DbnpnHti3x
37271619,2,เมืองไทย,13.786477,100.5746,กรุงเทพมหานคร,
37271619,2,ตราด,12.242756300000002,102.5174734,ตราด,ATtYBwKJ7l4NwZ1Pzk6I6cRrqvambatoDt8kS2n3UHy_gQNqEGOHb3AAZ2g5aCBKLZUvhKZqfr5VLomoeJslZkruNqFYBo7sXHozpxDibxmgWXPJq7RrzYCsZToECcscqjpSWbwtWH7IdFImzbUE-ej5K5c5sJpFfiVK528MWJ0SVzMCQvuz
